date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:45	937/937	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2026%20Apr%202017%2015:44:44%20GMT	http://sheetengine.codeplex.com/robots.txt		(from )
16:44:47	36016/36016	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:46%20GMT	http://sheetengine.codeplex.com/	sheetengine.codeplex.com/index.html	(from )
16:44:47	139613/139613	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202017%2015:44:47%20GMT	http://download-codeplex.sec.s-msft.com/css/v21050/i2036743/StyleSheet.ashx	download-codeplex.sec.s-msft.com/css/v21050/i2036743/StyleSheet.css	(from http://sheetengine.codeplex.com/)
16:44:48	78601/78601	---M-Z	200	added ('OK')	application/x-javascript	etag:%220138a7cc33d21:0%22	http://ajax.aspnetcdn.com/ajax/jquery/jquery-1.4.4.min.js	ajax.aspnetcdn.com/ajax/jquery/jquery-1.4.4.min.js	(from http://sheetengine.codeplex.com/)
16:44:49	196578/196578	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280b6c47bcc33d21:0%22	http://ajax.aspnetcdn.com/ajax/jquery.ui/1.8.6/jquery-ui.min.js	ajax.aspnetcdn.com/ajax/jquery.ui/1.8.6/jquery-ui.min.js	(from http://sheetengine.codeplex.com/)
16:44:51	361/361	---M--	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:49%20GMT	http://sheetengine.codeplex.com/rsd	sheetengine.codeplex.com/rsd	(from http://sheetengine.codeplex.com/)
16:44:51	810/810	---M--	200	added ('OK')	text/xml	date:Wed,%2029%20Mar%202017%2000:55:52%20GMT	http://sheetengine.codeplex.com/wlwmanifest.xml	sheetengine.codeplex.com/wlwmanifest.xml	(from http://sheetengine.codeplex.com/)
16:44:51	58149/58149	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:50%20GMT	http://sheetengine.codeplex.com/project/feeds/rss	sheetengine.codeplex.com/project/feeds/rss	(from http://sheetengine.codeplex.com/)
16:44:52	30947/30947	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:51%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2fforum%2fsheetengine	sheetengine.codeplex.com/project/feeds/rsse0fd	(from http://sheetengine.codeplex.com/)
16:44:52	62208/62208	---MCZ	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:52%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2fworkitem%2fsheetengine	sheetengine.codeplex.com/project/feeds/rss32ba	(from http://sheetengine.codeplex.com/)
16:44:52	7775/7775	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:52%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2frelease%2fsheetengine	sheetengine.codeplex.com/project/feeds/rssbb47	(from http://sheetengine.codeplex.com/)
16:44:53	4136/4136	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:52%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2freview%2fsheetengine	sheetengine.codeplex.com/project/feeds/rssfdc7	(from http://sheetengine.codeplex.com/)
16:44:53	303/303	---M-Z	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:53%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2fsourcecontrol%2fsheetengine	sheetengine.codeplex.com/project/feeds/rssd538	(from http://sheetengine.codeplex.com/)
16:44:54	146/146	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Apr%202017%2015:44:53%20GMT	http://sheetengine.codeplex.com/site/register/new	sheetengine.codeplex.com/site/register/new.c.delayed	(from http://sheetengine.codeplex.com/)
16:44:54	75363/75363	---MCZ	200	added ('OK')	text/xml	date:Wed,%2026%20Apr%202017%2015:44:53%20GMT	http://sheetengine.codeplex.com/project/feeds/rss?ProjectRSSFeed=codeplex%3a%2f%2fwiki%2fsheetengine	sheetengine.codeplex.com/project/feeds/rss4635	(from http://sheetengine.codeplex.com/)
16:44:54	206/206	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Apr%202017%2015:44:53%20GMT	http://sheetengine.codeplex.com/site/register?associate=None	sheetengine.codeplex.com/site/register.d0e87.delayed	(from http://sheetengine.codeplex.com/)
16:44:55	20403/20403	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:55%20GMT	https://sheetengine.codeplex.com/site/register?associate=None&ProjectName=sheetengine	sheetengine.codeplex.com/site/registereb86.html	(from http://sheetengine.codeplex.com/)
16:44:56	192/192	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Apr%202017%2015:44:55%20GMT	http://sheetengine.codeplex.com/SourceControl/latest	sheetengine.codeplex.com/SourceControl/latest.f.delayed	(from http://sheetengine.codeplex.com/)
16:44:57	29945/29945	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:56%20GMT	http://sheetengine.codeplex.com/SourceControl/list/changesets?branch=master	sheetengine.codeplex.com/SourceControl/list/changesetsc55c.html	(from http://sheetengine.codeplex.com/)
16:44:57	168/168	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Apr%202017%2015:44:57%20GMT	http://sheetengine.codeplex.com/releases	sheetengine.codeplex.com/releases.11.delayed	(from http://sheetengine.codeplex.com/)
16:44:58	57124/57124	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:58%20GMT	http://sheetengine.codeplex.com/releases/view/98942	sheetengine.codeplex.com/releases/view/98942.html	(from http://sheetengine.codeplex.com/)
16:44:59	35047/35047	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:58%20GMT	http://sheetengine.codeplex.com/documentation	sheetengine.codeplex.com/documentation.html	(from http://sheetengine.codeplex.com/)
16:44:59	48613/48613	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:59%20GMT	http://sheetengine.codeplex.com/discussions	sheetengine.codeplex.com/discussions.html	(from http://sheetengine.codeplex.com/)
16:45:00	52858/52858	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:44:59%20GMT	http://sheetengine.codeplex.com/workitem/list/basic	sheetengine.codeplex.com/workitem/list/basic.html	(from http://sheetengine.codeplex.com/)
16:45:00	22608/22608	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:00%20GMT	http://sheetengine.codeplex.com/team/view	sheetengine.codeplex.com/team/view.html	(from http://sheetengine.codeplex.com/)
16:45:00	18827/18827	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:00%20GMT	http://sheetengine.codeplex.com/license	sheetengine.codeplex.com/license.html	(from http://sheetengine.codeplex.com/)
16:45:01	34237/34237	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:01%20GMT	http://sheetengine.codeplex.com/wiki/PageInfo?title=Home	sheetengine.codeplex.com/wiki/PageInfobe6c.html	(from http://sheetengine.codeplex.com/)
16:45:01	46985/46985	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:01%20GMT	http://sheetengine.codeplex.com/wikipage/history	sheetengine.codeplex.com/wikipage/history.html	(from http://sheetengine.codeplex.com/)
16:45:02	17952/17952	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:01%20GMT	http://sheetengine.codeplex.com/downloads/get/571466	sheetengine.codeplex.com/downloads/get/571466.html	(from http://sheetengine.codeplex.com/)
16:45:02	35143/35143	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:01%20GMT	http://sheetengine.codeplex.com/documentation?referringTitle=Home	sheetengine.codeplex.com/documentation8b27.html	(from http://sheetengine.codeplex.com/)
16:45:04	57184/57184	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2015:45:02%20GMT	http://sheetengine.codeplex.com/releases/view/98942?RateReview=true	sheetengine.codeplex.com/releases/view/98942a8c5.html	(from http://sheetengine.codeplex.com/)
16:45:04	11101/11101	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Apr%202017%2015:45:04%20GMT	http://sheetengine.codeplex.com/stats/getActivity	sheetengine.codeplex.com/stats/getActivity.1d.delayed	(from http://sheetengine.codeplex.com/)
